free_annotation
cell__1	Acinar cells
cell__167	Ductal - terminal ductal like
cell__168	Cancer clone A
cell__169	Cancer clone B
cell__170	Ductal - MHC Class II
cell__171	Cancer clone B
cell__172	Ductal - CRISP3 high/centroacinar like
cell__173	Cancer clone B
cell__174	mDCs B
cell__175	Ductal - MHC Class II
cell__176	Ductal - CRISP3 high/centroacinar like
cell__177	Ductal - terminal ductal like
cell__178	Ductal - MHC Class II
cell__179	Ductal - CRISP3 high/centroacinar like
cell__180	Ductal - terminal ductal like
cell__181	Ductal - CRISP3 high/centroacinar like
cell__182	Ductal - APOL1 high/hypoxic
cell__183	Ductal - CRISP3 high/centroacinar like
cell__184	Ductal - MHC Class II
cell__185	Ductal - CRISP3 high/centroacinar like
cell__186	Ductal - APOL1 high/hypoxic
cell__187	Ductal - CRISP3 high/centroacinar like
cell__188	Cancer clone B
cell__189	Ductal - APOL1 high/hypoxic
cell__190	pDCs
cell__191	Ductal - CRISP3 high/centroacinar like
cell__192	Cancer clone B
cell__193	Ductal - terminal ductal like
cell__194	Ductal - terminal ductal like
cell__195	Ductal - terminal ductal like
cell__196	Ductal - APOL1 high/hypoxic
cell__197	Cancer clone B
cell__198	Ductal - CRISP3 high/centroacinar like
cell__199	Ductal - terminal ductal like
cell__200	Ductal - terminal ductal like
cell__201	Ductal - CRISP3 high/centroacinar like
cell__202	Ductal - CRISP3 high/centroacinar like
cell__203	Tuft cells
cell__204	Ductal - terminal ductal like
cell__205	Ductal - MHC Class II
cell__206	Ductal - APOL1 high/hypoxic
cell__207	Ductal - CRISP3 high/centroacinar like
cell__208	Cancer clone A
cell__209	Macrophages B
cell__210	Ductal - terminal ductal like
cell__211	Ductal - APOL1 high/hypoxic
cell__212	Tuft cells
cell__213	Ductal - MHC Class II
cell__214	Macrophages B
cell__215	Ductal - terminal ductal like
cell__216	Ductal - APOL1 high/hypoxic
cell__217	Ductal - terminal ductal like
cell__218	Ductal - CRISP3 high/centroacinar like
cell__219	Ductal - CRISP3 high/centroacinar like
cell__220	Ductal - CRISP3 high/centroacinar like
cell__221	Cancer clone A
cell__222	Ductal - CRISP3 high/centroacinar like
cell__223	Macrophages B
cell__224	Cancer clone A
cell__225	Ductal - APOL1 high/hypoxic
cell__226	Ductal - APOL1 high/hypoxic
cell__227	Ductal - CRISP3 high/centroacinar like
cell__228	T cells & NK cells
cell__229	Ductal - CRISP3 high/centroacinar like
cell__230	Ductal - APOL1 high/hypoxic
cell__231	Ductal - CRISP3 high/centroacinar like
cell__232	Ductal - MHC Class II
cell__233	Ductal - CRISP3 high/centroacinar like
cell__234	Cancer clone B
cell__235	Ductal - APOL1 high/hypoxic
cell__236	Ductal - MHC Class II
cell__237	Ductal - CRISP3 high/centroacinar like
cell__238	Ductal - MHC Class II
cell__239	Ductal - CRISP3 high/centroacinar like
cell__240	Ductal - APOL1 high/hypoxic
cell__241	Ductal - CRISP3 high/centroacinar like
cell__242	Ductal - terminal ductal like
cell__243	Ductal - APOL1 high/hypoxic
cell__244	Ductal - CRISP3 high/centroacinar like
cell__245	Ductal - APOL1 high/hypoxic
cell__246	Ductal - CRISP3 high/centroacinar like
cell__247	Cancer clone A
cell__248	Cancer clone B
cell__249	Ductal - CRISP3 high/centroacinar like
cell__250	Ductal - CRISP3 high/centroacinar like
cell__251	Ductal - CRISP3 high/centroacinar like
cell__252	Tuft cells
cell__253	Ductal - APOL1 high/hypoxic
cell__254	Ductal - MHC Class II
cell__255	pDCs
cell__256	Ductal - MHC Class II
cell__257	Cancer clone B
cell__258	Ductal - terminal ductal like
cell__259	Ductal - APOL1 high/hypoxic
cell__260	Ductal - MHC Class II
cell__261	Ductal - APOL1 high/hypoxic
cell__262	Ductal - APOL1 high/hypoxic
cell__263	Endothelial cells
cell__264	Ductal - MHC Class II
cell__265	Ductal - terminal ductal like
cell__266	Cancer clone B
cell__267	Ductal - CRISP3 high/centroacinar like
cell__268	Ductal - terminal ductal like
cell__269	Ductal - APOL1 high/hypoxic
cell__270	Ductal - MHC Class II
cell__271	Ductal - CRISP3 high/centroacinar like
cell__272	Ductal - MHC Class II
cell__273	Ductal - CRISP3 high/centroacinar like
cell__274	Macrophages B
cell__275	Ductal - terminal ductal like
cell__276	Cancer clone B
cell__277	Ductal - MHC Class II
cell__278	Ductal - CRISP3 high/centroacinar like
cell__279	Ductal - MHC Class II
cell__280	pDCs
cell__281	Ductal - MHC Class II
cell__282	Macrophages B
cell__283	Ductal - terminal ductal like
cell__284	Cancer clone A
cell__285	Ductal - CRISP3 high/centroacinar like
cell__286	Ductal - MHC Class II
cell__287	Ductal - CRISP3 high/centroacinar like
cell__288	Tuft cells
cell__289	Ductal - MHC Class II
cell__290	Ductal - CRISP3 high/centroacinar like
cell__291	Cancer clone A
cell__292	Ductal - MHC Class II
cell__293	Ductal - CRISP3 high/centroacinar like
cell__294	mDCs A
cell__295	T cells & NK cells
cell__296	Ductal - APOL1 high/hypoxic
cell__297	Ductal - terminal ductal like
cell__298	Ductal - terminal ductal like
cell__299	Ductal - CRISP3 high/centroacinar like
cell__300	Ductal - CRISP3 high/centroacinar like
cell__301	Ductal - CRISP3 high/centroacinar like
