free_annotation
cell__1	Acinar cells
cell__735	Ductal - MHC Class II
cell__736	Ductal - MHC Class II
cell__737	Ductal - MHC Class II
cell__738	mDCs B
cell__739	T cells & NK cells
cell__740	Macrophages A
cell__741	Ductal - MHC Class II
cell__742	T cells & NK cells
cell__743	Cancer clone B
cell__744	Cancer clone A
cell__745	Macrophages A
cell__746	Ductal - CRISP3 high/centroacinar like
cell__747	Ductal - CRISP3 high/centroacinar like
cell__748	Monocytes
cell__749	Ductal - CRISP3 high/centroacinar like
cell__750	Ductal - CRISP3 high/centroacinar like
cell__751	T cells & NK cells
cell__752	Ductal - CRISP3 high/centroacinar like
cell__753	RBCs
cell__754	Ductal - CRISP3 high/centroacinar like
cell__755	Monocytes
cell__756	Ductal - CRISP3 high/centroacinar like
cell__757	Ductal - terminal ductal like
cell__758	Cancer clone B
cell__759	Ductal - terminal ductal like
cell__760	Ductal - MHC Class II
cell__761	Cancer clone A
cell__762	Ductal - CRISP3 high/centroacinar like
cell__763	Ductal - APOL1 high/hypoxic
cell__764	Ductal - CRISP3 high/centroacinar like
cell__765	Ductal - terminal ductal like
cell__766	Ductal - CRISP3 high/centroacinar like
cell__767	Ductal - terminal ductal like
cell__768	Cancer clone A
cell__769	Cancer clone A
cell__770	Ductal - CRISP3 high/centroacinar like
cell__771	Mast cells
cell__772	Cancer clone B
cell__773	Ductal - MHC Class II
cell__774	Cancer clone A
cell__775	Ductal - terminal ductal like
cell__776	Ductal - MHC Class II
cell__777	Ductal - CRISP3 high/centroacinar like
cell__778	Ductal - MHC Class II
cell__779	Ductal - MHC Class II
cell__780	Ductal - MHC Class II
cell__781	Acinar cells
cell__782	Cancer clone B
cell__783	Ductal - CRISP3 high/centroacinar like
cell__784	Ductal - MHC Class II
cell__785	Ductal - APOL1 high/hypoxic
cell__786	Ductal - CRISP3 high/centroacinar like
cell__787	Ductal - terminal ductal like
cell__788	Ductal - terminal ductal like
cell__789	Cancer clone A
cell__790	Ductal - terminal ductal like
cell__791	Ductal - terminal ductal like
cell__792	Ductal - terminal ductal like
cell__793	Ductal - CRISP3 high/centroacinar like
cell__794	Ductal - CRISP3 high/centroacinar like
cell__795	Cancer clone A
cell__796	Ductal - terminal ductal like
cell__797	Cancer clone B
cell__798	Ductal - terminal ductal like
cell__799	Ductal - CRISP3 high/centroacinar like
cell__800	Ductal - APOL1 high/hypoxic
cell__801	Ductal - CRISP3 high/centroacinar like
cell__802	Ductal - CRISP3 high/centroacinar like
cell__803	Ductal - CRISP3 high/centroacinar like
cell__804	Ductal - terminal ductal like
cell__805	Ductal - CRISP3 high/centroacinar like
cell__806	Ductal - APOL1 high/hypoxic
cell__807	Ductal - MHC Class II
cell__808	Ductal - CRISP3 high/centroacinar like
cell__809	Ductal - CRISP3 high/centroacinar like
cell__810	Ductal - MHC Class II
cell__811	Ductal - MHC Class II
cell__812	Ductal - CRISP3 high/centroacinar like
cell__813	Cancer clone A
cell__814	Ductal - MHC Class II
cell__815	Ductal - CRISP3 high/centroacinar like
cell__816	Ductal - MHC Class II
cell__817	Ductal - CRISP3 high/centroacinar like
cell__818	Ductal - CRISP3 high/centroacinar like
cell__819	Ductal - CRISP3 high/centroacinar like
cell__820	Ductal - CRISP3 high/centroacinar like
cell__821	Ductal - terminal ductal like
cell__822	Ductal - terminal ductal like
cell__823	Ductal - terminal ductal like
cell__824	Ductal - MHC Class II
cell__825	Cancer clone A
cell__826	Mast cells
cell__827	Ductal - CRISP3 high/centroacinar like
cell__828	Ductal - APOL1 high/hypoxic
cell__829	Ductal - terminal ductal like
cell__830	Ductal - MHC Class II
cell__831	Cancer clone A
cell__832	Ductal - APOL1 high/hypoxic
cell__833	Mast cells
cell__834	Ductal - APOL1 high/hypoxic
cell__835	Ductal - terminal ductal like
cell__836	Cancer clone A
cell__837	Ductal - MHC Class II
cell__838	Ductal - CRISP3 high/centroacinar like
cell__839	Ductal - MHC Class II
cell__840	Ductal - APOL1 high/hypoxic
cell__841	Ductal - CRISP3 high/centroacinar like
cell__842	Ductal - CRISP3 high/centroacinar like
cell__843	Cancer clone B
cell__844	Ductal - MHC Class II
cell__845	Ductal - APOL1 high/hypoxic
cell__846	Ductal - APOL1 high/hypoxic
cell__847	Ductal - APOL1 high/hypoxic
cell__848	Ductal - CRISP3 high/centroacinar like
cell__849	Ductal - CRISP3 high/centroacinar like
cell__850	Ductal - APOL1 high/hypoxic
cell__851	Ductal - CRISP3 high/centroacinar like
cell__852	Ductal - terminal ductal like
cell__853	Ductal - CRISP3 high/centroacinar like
cell__854	Ductal - APOL1 high/hypoxic
cell__855	Ductal - MHC Class II
cell__856	Endothelial cells
cell__857	Ductal - APOL1 high/hypoxic
cell__858	Ductal - terminal ductal like
cell__859	Cancer clone A
cell__860	Ductal - terminal ductal like
cell__861	Ductal - APOL1 high/hypoxic
cell__862	Ductal - MHC Class II
cell__863	Ductal - APOL1 high/hypoxic
cell__864	Ductal - APOL1 high/hypoxic
cell__865	Ductal - MHC Class II
cell__866	Cancer clone B
cell__867	Ductal - terminal ductal like
cell__868	Cancer clone B
cell__869	Ductal - terminal ductal like
cell__870	Ductal - CRISP3 high/centroacinar like
cell__871	Ductal - CRISP3 high/centroacinar like
cell__872	Ductal - APOL1 high/hypoxic
cell__873	Cancer clone B
cell__874	Ductal - CRISP3 high/centroacinar like
cell__875	Ductal - terminal ductal like
cell__876	Cancer clone B
cell__877	Ductal - terminal ductal like
cell__878	Ductal - MHC Class II
cell__879	Ductal - APOL1 high/hypoxic
cell__880	Ductal - CRISP3 high/centroacinar like
cell__881	Ductal - APOL1 high/hypoxic
cell__882	Ductal - CRISP3 high/centroacinar like
cell__883	Ductal - CRISP3 high/centroacinar like
cell__884	Ductal - terminal ductal like
cell__885	Ductal - terminal ductal like
cell__886	Ductal - terminal ductal like
cell__887	Cancer clone B
cell__888	Ductal - CRISP3 high/centroacinar like
cell__889	Cancer clone B
cell__890	Ductal - CRISP3 high/centroacinar like
cell__891	Cancer clone A
cell__892	Ductal - CRISP3 high/centroacinar like
cell__893	Ductal - APOL1 high/hypoxic
cell__894	mDCs B
cell__895	Ductal - MHC Class II
cell__896	Ductal - terminal ductal like
cell__897	Macrophages A
cell__898	Ductal - CRISP3 high/centroacinar like
cell__899	Ductal - MHC Class II
cell__900	Cancer clone B
cell__901	Ductal - MHC Class II
cell__902	Ductal - CRISP3 high/centroacinar like
cell__903	Ductal - terminal ductal like
cell__904	Ductal - terminal ductal like
cell__905	Ductal - terminal ductal like
cell__906	Ductal - APOL1 high/hypoxic
cell__907	Ductal - CRISP3 high/centroacinar like
cell__908	Cancer clone B
cell__909	Ductal - terminal ductal like
cell__910	Ductal - CRISP3 high/centroacinar like
cell__911	Ductal - CRISP3 high/centroacinar like
cell__912	Ductal - CRISP3 high/centroacinar like
cell__913	Ductal - terminal ductal like
cell__914	Ductal - CRISP3 high/centroacinar like
cell__915	Ductal - MHC Class II
cell__916	Ductal - MHC Class II
cell__917	Ductal - CRISP3 high/centroacinar like
cell__918	Ductal - CRISP3 high/centroacinar like
cell__919	Ductal - CRISP3 high/centroacinar like
cell__920	Cancer clone B
cell__921	Macrophages A
cell__922	Ductal - CRISP3 high/centroacinar like
cell__923	Ductal - terminal ductal like
cell__924	Macrophages A
cell__925	Ductal - terminal ductal like
cell__926	Ductal - terminal ductal like
cell__927	Ductal - CRISP3 high/centroacinar like
cell__928	Ductal - CRISP3 high/centroacinar like
cell__929	Ductal - CRISP3 high/centroacinar like
cell__930	Ductal - APOL1 high/hypoxic
cell__931	Ductal - APOL1 high/hypoxic
cell__932	Ductal - MHC Class II
cell__933	Cancer clone B
cell__934	Ductal - MHC Class II
cell__935	Ductal - APOL1 high/hypoxic
cell__936	Cancer clone B
cell__937	mDCs B
cell__938	Cancer clone B
cell__939	Ductal - CRISP3 high/centroacinar like
cell__940	Ductal - terminal ductal like
cell__941	Ductal - APOL1 high/hypoxic
cell__942	Ductal - terminal ductal like
cell__943	Ductal - CRISP3 high/centroacinar like
cell__944	Cancer clone B
cell__945	Ductal - APOL1 high/hypoxic
cell__946	Ductal - CRISP3 high/centroacinar like
cell__947	Ductal - CRISP3 high/centroacinar like
cell__948	Ductal - APOL1 high/hypoxic
cell__949	Ductal - terminal ductal like
cell__950	Ductal - APOL1 high/hypoxic
cell__951	Ductal - CRISP3 high/centroacinar like
cell__952	Ductal - terminal ductal like
cell__953	Cancer clone B
cell__954	Ductal - APOL1 high/hypoxic
cell__955	Ductal - CRISP3 high/centroacinar like
cell__956	Ductal - CRISP3 high/centroacinar like
cell__957	Ductal - CRISP3 high/centroacinar like
cell__958	Ductal - CRISP3 high/centroacinar like
cell__959	T cells & NK cells
cell__960	Ductal - MHC Class II
cell__961	Macrophages A
cell__962	Ductal - APOL1 high/hypoxic
cell__963	Ductal - terminal ductal like
cell__964	Ductal - CRISP3 high/centroacinar like
cell__965	Ductal - terminal ductal like
cell__966	Ductal - terminal ductal like
cell__967	Macrophages A
cell__968	Ductal - MHC Class II
cell__969	Ductal - APOL1 high/hypoxic
cell__970	Cancer clone B
cell__971	mDCs B
cell__972	Ductal - MHC Class II
cell__973	Fibroblasts
cell__974	Ductal - APOL1 high/hypoxic
cell__975	Ductal - MHC Class II
cell__976	Ductal - terminal ductal like
cell__977	Cancer clone B
cell__978	Ductal - APOL1 high/hypoxic
cell__979	mDCs B
cell__980	Ductal - MHC Class II
cell__981	Ductal - APOL1 high/hypoxic
cell__982	Ductal - terminal ductal like
cell__983	Ductal - APOL1 high/hypoxic
cell__984	Cancer clone B
cell__985	Ductal - MHC Class II
cell__986	Cancer clone A
cell__987	Ductal - CRISP3 high/centroacinar like
cell__988	Ductal - CRISP3 high/centroacinar like
cell__989	Ductal - CRISP3 high/centroacinar like
cell__990	Ductal - terminal ductal like
cell__991	Ductal - terminal ductal like
cell__992	Ductal - CRISP3 high/centroacinar like
cell__993	Ductal - terminal ductal like
cell__994	Ductal - terminal ductal like
cell__995	Ductal - MHC Class II
cell__996	Ductal - MHC Class II
cell__997	Ductal - CRISP3 high/centroacinar like
cell__998	Ductal - CRISP3 high/centroacinar like
cell__999	Tuft cells
cell__1000	Ductal - MHC Class II
cell__1001	mDCs B
cell__1002	Ductal - MHC Class II
cell__1003	Ductal - CRISP3 high/centroacinar like
cell__1004	Ductal - CRISP3 high/centroacinar like
cell__1005	Ductal - CRISP3 high/centroacinar like
cell__1006	Ductal - terminal ductal like
cell__1007	Cancer clone B
cell__1008	Cancer clone A
cell__1009	Cancer clone B
cell__1010	Ductal - CRISP3 high/centroacinar like
cell__1011	Ductal - CRISP3 high/centroacinar like
cell__1012	Ductal - APOL1 high/hypoxic
cell__1013	Ductal - MHC Class II
cell__1014	Cancer clone A
cell__1015	mDCs A
cell__1016	Ductal - CRISP3 high/centroacinar like
cell__1017	mDCs B
cell__1018	Cancer clone B
cell__1019	Macrophages B
cell__1020	Ductal - terminal ductal like
cell__1021	Ductal - APOL1 high/hypoxic
cell__1022	Macrophages B
cell__1023	Ductal - CRISP3 high/centroacinar like
cell__1024	Ductal - CRISP3 high/centroacinar like
cell__1025	Ductal - CRISP3 high/centroacinar like
cell__1026	Cancer clone B
cell__1027	Ductal - terminal ductal like
cell__1028	Ductal - terminal ductal like
cell__1029	Ductal - terminal ductal like
cell__1030	Cancer clone B
cell__1031	Cancer clone B
cell__1032	Ductal - terminal ductal like
cell__1033	Ductal - APOL1 high/hypoxic
cell__1034	Macrophages B
cell__1035	T cells & NK cells
cell__1036	Tuft cells
cell__1037	Ductal - MHC Class II
cell__1038	Ductal - CRISP3 high/centroacinar like
cell__1039	Ductal - APOL1 high/hypoxic
cell__1040	Cancer clone B
cell__1041	Endocrine cells
cell__1042	Cancer clone B
cell__1043	Ductal - APOL1 high/hypoxic
cell__1044	Ductal - terminal ductal like
cell__1045	Tuft cells
cell__1046	Ductal - MHC Class II
cell__1047	Ductal - APOL1 high/hypoxic
cell__1048	Cancer clone B
cell__1049	Ductal - CRISP3 high/centroacinar like
cell__1050	pDCs
cell__1051	mDCs B
cell__1052	Ductal - terminal ductal like
cell__1053	Ductal - CRISP3 high/centroacinar like
cell__1054	Ductal - MHC Class II
cell__1055	Macrophages A
cell__1056	Ductal - CRISP3 high/centroacinar like
cell__1057	Ductal - terminal ductal like
cell__1058	Cancer clone B
cell__1059	Ductal - CRISP3 high/centroacinar like
cell__1060	Ductal - APOL1 high/hypoxic
cell__1061	Ductal - terminal ductal like
cell__1062	Ductal - APOL1 high/hypoxic
cell__1063	Ductal - CRISP3 high/centroacinar like
cell__1064	Ductal - CRISP3 high/centroacinar like
cell__1065	Monocytes
cell__1066	Ductal - CRISP3 high/centroacinar like
cell__1067	Ductal - CRISP3 high/centroacinar like
cell__1068	Ductal - MHC Class II
cell__1069	Ductal - terminal ductal like
cell__1070	Ductal - CRISP3 high/centroacinar like
cell__1071	Ductal - CRISP3 high/centroacinar like
cell__1072	Ductal - CRISP3 high/centroacinar like
cell__1073	Monocytes
cell__1074	Ductal - terminal ductal like
cell__1075	Cancer clone A
cell__1076	Ductal - MHC Class II
cell__1077	RBCs
cell__1078	Acinar cells
cell__1079	RBCs
cell__1080	Ductal - CRISP3 high/centroacinar like
cell__1081	Ductal - CRISP3 high/centroacinar like
cell__1082	Ductal - CRISP3 high/centroacinar like
cell__1083	Cancer clone A
cell__1084	Ductal - MHC Class II
cell__1085	Ductal - CRISP3 high/centroacinar like
cell__1086	Ductal - terminal ductal like
cell__1087	Ductal - terminal ductal like
cell__1088	Ductal - terminal ductal like
cell__1089	Ductal - CRISP3 high/centroacinar like
cell__1090	Ductal - APOL1 high/hypoxic
cell__1091	Ductal - MHC Class II
cell__1092	Cancer clone B
cell__1093	Cancer clone B
cell__1094	Ductal - terminal ductal like
cell__1095	Ductal - MHC Class II
cell__1096	Ductal - CRISP3 high/centroacinar like
cell__1097	Ductal - APOL1 high/hypoxic
cell__1098	Ductal - terminal ductal like
cell__1099	Ductal - terminal ductal like
cell__1100	Ductal - APOL1 high/hypoxic
cell__1101	Ductal - terminal ductal like
cell__1102	Ductal - terminal ductal like
cell__1103	Ductal - MHC Class II
cell__1104	Cancer clone A
cell__1105	Ductal - CRISP3 high/centroacinar like
cell__1106	Ductal - CRISP3 high/centroacinar like
cell__1107	Ductal - APOL1 high/hypoxic
cell__1108	Ductal - CRISP3 high/centroacinar like
cell__1109	mDCs B
cell__1110	Cancer clone A
cell__1111	mDCs B
cell__1112	Cancer clone B
cell__1113	pDCs
cell__1114	Ductal - MHC Class II
cell__1115	Ductal - CRISP3 high/centroacinar like
cell__1116	Ductal - terminal ductal like
cell__1117	Ductal - APOL1 high/hypoxic
cell__1118	Ductal - CRISP3 high/centroacinar like
cell__1119	Ductal - terminal ductal like
cell__1120	Ductal - MHC Class II
cell__1121	Ductal - CRISP3 high/centroacinar like
cell__1122	Ductal - APOL1 high/hypoxic
cell__1123	Ductal - MHC Class II
cell__1124	Ductal - MHC Class II
cell__1125	Ductal - MHC Class II
cell__1126	Ductal - CRISP3 high/centroacinar like
cell__1127	Cancer clone A
cell__1128	Ductal - terminal ductal like
cell__1129	Ductal - APOL1 high/hypoxic
cell__1130	Ductal - terminal ductal like
cell__1131	Ductal - terminal ductal like
cell__1132	Cancer clone B
cell__1133	Ductal - CRISP3 high/centroacinar like
cell__1134	Tuft cells
cell__1135	Cancer clone A
cell__1136	Ductal - CRISP3 high/centroacinar like
cell__1137	Ductal - terminal ductal like
cell__1138	Ductal - MHC Class II
cell__1139	Ductal - terminal ductal like
cell__1140	Cancer clone B
cell__1141	Acinar cells
cell__1142	Cancer clone A
cell__1143	Ductal - CRISP3 high/centroacinar like
cell__1144	Ductal - MHC Class II
cell__1145	Cancer clone A
cell__1146	Ductal - terminal ductal like
cell__1147	Ductal - APOL1 high/hypoxic
cell__1148	Cancer clone A
cell__1149	Cancer clone B
cell__1150	Ductal - terminal ductal like
cell__1151	Ductal - CRISP3 high/centroacinar like
cell__1152	Ductal - CRISP3 high/centroacinar like
cell__1153	mDCs B
cell__1154	Ductal - APOL1 high/hypoxic
cell__1155	Cancer clone B
cell__1156	Cancer clone A
cell__1157	Ductal - CRISP3 high/centroacinar like
cell__1158	Ductal - terminal ductal like
cell__1159	Ductal - terminal ductal like
cell__1160	Ductal - APOL1 high/hypoxic
cell__1161	Ductal - CRISP3 high/centroacinar like
cell__1162	Ductal - APOL1 high/hypoxic
cell__1163	Ductal - CRISP3 high/centroacinar like
cell__1164	Ductal - CRISP3 high/centroacinar like
cell__1165	Cancer clone B
cell__1166	Ductal - APOL1 high/hypoxic
cell__1167	Ductal - CRISP3 high/centroacinar like
cell__1168	Ductal - MHC Class II
cell__1169	Ductal - CRISP3 high/centroacinar like
cell__1170	Ductal - MHC Class II
cell__1171	Ductal - terminal ductal like
cell__1172	Ductal - MHC Class II
cell__1173	Ductal - terminal ductal like
cell__1174	Ductal - APOL1 high/hypoxic
cell__1175	Ductal - MHC Class II
cell__1176	Cancer clone A
cell__1177	Ductal - terminal ductal like
cell__1178	Ductal - MHC Class II
cell__1179	Ductal - APOL1 high/hypoxic
cell__1180	Cancer clone B
cell__1181	Ductal - CRISP3 high/centroacinar like
cell__1182	Ductal - MHC Class II
cell__1183	Ductal - terminal ductal like
cell__1184	Ductal - CRISP3 high/centroacinar like
cell__1185	Ductal - MHC Class II
cell__1186	Ductal - terminal ductal like
cell__1187	Ductal - terminal ductal like
cell__1188	Ductal - MHC Class II
cell__1189	Ductal - MHC Class II
cell__1190	Ductal - MHC Class II
cell__1191	Ductal - MHC Class II
cell__1192	Ductal - terminal ductal like
cell__1193	Cancer clone B
cell__1194	Ductal - terminal ductal like
cell__1195	Ductal - APOL1 high/hypoxic
cell__1196	Ductal - terminal ductal like
cell__1197	Ductal - CRISP3 high/centroacinar like
cell__1198	Ductal - MHC Class II
cell__1199	Ductal - APOL1 high/hypoxic
cell__1200	Cancer clone B
cell__1201	Ductal - APOL1 high/hypoxic
cell__1202	Ductal - MHC Class II
cell__1203	Ductal - terminal ductal like
cell__1204	Ductal - terminal ductal like
cell__1205	Ductal - MHC Class II
cell__1206	Cancer clone A
cell__1207	Ductal - CRISP3 high/centroacinar like
cell__1208	Ductal - CRISP3 high/centroacinar like
cell__1209	Ductal - CRISP3 high/centroacinar like
cell__1210	Ductal - APOL1 high/hypoxic
cell__1211	Ductal - CRISP3 high/centroacinar like
cell__1212	Ductal - CRISP3 high/centroacinar like
cell__1213	Ductal - APOL1 high/hypoxic
cell__1214	Ductal - CRISP3 high/centroacinar like
cell__1215	Ductal - APOL1 high/hypoxic
cell__1216	Ductal - terminal ductal like
cell__1217	Ductal - CRISP3 high/centroacinar like
cell__1218	Ductal - MHC Class II
cell__1219	Ductal - CRISP3 high/centroacinar like
cell__1220	Monocytes
cell__1221	Ductal - APOL1 high/hypoxic
cell__1222	Cancer clone B
cell__1223	Ductal - CRISP3 high/centroacinar like
cell__1224	Tuft cells
cell__1225	Macrophages A
cell__1226	Ductal - terminal ductal like
cell__1227	Ductal - CRISP3 high/centroacinar like
cell__1228	Macrophages B
cell__1229	T cells & NK cells
cell__1230	Ductal - terminal ductal like
cell__1231	Ductal - CRISP3 high/centroacinar like
cell__1232	Cancer clone B
cell__1233	Ductal - CRISP3 high/centroacinar like
cell__1234	Ductal - terminal ductal like
cell__1235	Ductal - CRISP3 high/centroacinar like
cell__1236	Ductal - MHC Class II
cell__1237	Ductal - CRISP3 high/centroacinar like
cell__1238	Cancer clone B
cell__1239	Ductal - MHC Class II
cell__1240	Cancer clone B
cell__1241	Ductal - CRISP3 high/centroacinar like
cell__1242	Tuft cells
cell__1243	Ductal - terminal ductal like
cell__1244	Endothelial cells
cell__1245	Ductal - terminal ductal like
cell__1246	Ductal - APOL1 high/hypoxic
cell__1247	Ductal - terminal ductal like
cell__1248	Ductal - terminal ductal like
cell__1249	Ductal - CRISP3 high/centroacinar like
cell__1250	Ductal - APOL1 high/hypoxic
cell__1251	Ductal - terminal ductal like
cell__1252	Ductal - MHC Class II
cell__1253	Ductal - CRISP3 high/centroacinar like
cell__1254	Ductal - APOL1 high/hypoxic
cell__1255	Ductal - MHC Class II
cell__1256	Ductal - terminal ductal like
cell__1257	Ductal - APOL1 high/hypoxic
cell__1258	mDCs B
cell__1259	Ductal - APOL1 high/hypoxic
cell__1260	Ductal - CRISP3 high/centroacinar like
cell__1261	Ductal - CRISP3 high/centroacinar like
cell__1262	Ductal - terminal ductal like
cell__1263	Ductal - MHC Class II
cell__1264	Cancer clone B
cell__1265	Cancer clone B
cell__1266	Cancer clone B
cell__1267	Ductal - terminal ductal like
cell__1268	Ductal - MHC Class II
cell__1269	Ductal - terminal ductal like
cell__1270	Ductal - CRISP3 high/centroacinar like
cell__1271	Macrophages B
cell__1272	Ductal - CRISP3 high/centroacinar like
cell__1273	Ductal - CRISP3 high/centroacinar like
cell__1274	Cancer clone A
cell__1275	Cancer clone A
cell__1276	Ductal - CRISP3 high/centroacinar like
cell__1277	Ductal - MHC Class II
cell__1278	Ductal - CRISP3 high/centroacinar like
cell__1279	Ductal - CRISP3 high/centroacinar like
cell__1280	Ductal - CRISP3 high/centroacinar like
cell__1281	Ductal - MHC Class II
cell__1282	Ductal - CRISP3 high/centroacinar like
cell__1283	Cancer clone B
cell__1284	Tuft cells
cell__1285	Ductal - MHC Class II
cell__1286	Cancer clone A
cell__1287	Ductal - terminal ductal like
cell__1288	Ductal - MHC Class II
cell__1289	Ductal - CRISP3 high/centroacinar like
cell__1290	Ductal - terminal ductal like
cell__1291	Ductal - terminal ductal like
cell__1292	Ductal - CRISP3 high/centroacinar like
cell__1293	Ductal - APOL1 high/hypoxic
cell__1294	Ductal - CRISP3 high/centroacinar like
cell__1295	Ductal - terminal ductal like
cell__1296	Cancer clone B
cell__1297	Ductal - terminal ductal like
cell__1298	Ductal - CRISP3 high/centroacinar like
cell__1299	Cancer clone A
cell__1300	Ductal - CRISP3 high/centroacinar like
cell__1301	Ductal - MHC Class II
cell__1302	T cells & NK cells
cell__1303	Ductal - CRISP3 high/centroacinar like
cell__1304	Ductal - CRISP3 high/centroacinar like
cell__1305	T cells & NK cells
cell__1306	Cancer clone B
cell__1307	Macrophages B
cell__1308	Ductal - CRISP3 high/centroacinar like
cell__1309	Cancer clone B
cell__1310	Cancer clone B
cell__1311	Ductal - CRISP3 high/centroacinar like
cell__1312	Ductal - APOL1 high/hypoxic
cell__1313	Tuft cells
cell__1314	Ductal - CRISP3 high/centroacinar like
cell__1315	Ductal - CRISP3 high/centroacinar like
cell__1316	mDCs B
cell__1317	Ductal - APOL1 high/hypoxic
cell__1318	Ductal - MHC Class II
cell__1319	T cells & NK cells
cell__1320	Ductal - terminal ductal like
cell__1321	Ductal - CRISP3 high/centroacinar like
cell__1322	Ductal - CRISP3 high/centroacinar like
cell__1323	Ductal - terminal ductal like
cell__1324	Cancer clone B
cell__1325	Cancer clone A
cell__1326	Ductal - CRISP3 high/centroacinar like
cell__1327	Cancer clone A
cell__1328	Ductal - APOL1 high/hypoxic
cell__1329	Ductal - CRISP3 high/centroacinar like
cell__1330	Ductal - CRISP3 high/centroacinar like
cell__1331	Cancer clone B
cell__1332	Ductal - terminal ductal like
cell__1333	Cancer clone B
cell__1334	Cancer clone A
cell__1335	Ductal - CRISP3 high/centroacinar like
cell__1336	Tuft cells
cell__1337	Ductal - MHC Class II
cell__1338	Cancer clone B
cell__1339	Ductal - terminal ductal like
cell__1340	Cancer clone B
cell__1341	Cancer clone A
cell__1342	Ductal - MHC Class II
cell__1343	Ductal - MHC Class II
cell__1344	Ductal - MHC Class II
cell__1345	Cancer clone B
cell__1346	Ductal - terminal ductal like
cell__1347	Ductal - APOL1 high/hypoxic
cell__1348	Ductal - CRISP3 high/centroacinar like
cell__1349	Macrophages B
cell__1350	Cancer clone A
cell__1351	Ductal - MHC Class II
cell__1352	Cancer clone B
cell__1353	Ductal - terminal ductal like
cell__1354	Ductal - terminal ductal like
cell__1355	Monocytes
cell__1356	Tuft cells
cell__1357	pDCs
cell__1358	Ductal - MHC Class II
cell__1359	Cancer clone B
cell__1360	mDCs B
cell__1361	Cancer clone A
cell__1362	Ductal - APOL1 high/hypoxic
cell__1363	Ductal - APOL1 high/hypoxic
cell__1364	Ductal - APOL1 high/hypoxic
cell__1365	Ductal - APOL1 high/hypoxic
cell__1366	RBCs
cell__1367	Ductal - APOL1 high/hypoxic
cell__1368	Ductal - CRISP3 high/centroacinar like
cell__1369	Ductal - CRISP3 high/centroacinar like
cell__1370	RBCs
cell__1371	RBCs
cell__1372	Ductal - terminal ductal like
cell__1373	Ductal - terminal ductal like
cell__1374	Ductal - CRISP3 high/centroacinar like
cell__1375	Ductal - terminal ductal like
cell__1376	Cancer clone B
cell__1377	Ductal - terminal ductal like
cell__1378	Acinar cells
cell__1379	Ductal - APOL1 high/hypoxic
cell__1380	Cancer clone A
cell__1381	Ductal - MHC Class II
cell__1382	Ductal - MHC Class II
cell__1383	Ductal - CRISP3 high/centroacinar like
cell__1384	Cancer clone B
cell__1385	Ductal - terminal ductal like
cell__1386	Ductal - CRISP3 high/centroacinar like
cell__1387	Ductal - MHC Class II
cell__1388	Ductal - terminal ductal like
cell__1389	Ductal - APOL1 high/hypoxic
cell__1390	Ductal - terminal ductal like
cell__1391	Cancer clone B
cell__1392	Ductal - MHC Class II
cell__1393	Cancer clone A
cell__1394	Cancer clone A
cell__1395	Cancer clone A
cell__1396	Ductal - CRISP3 high/centroacinar like
cell__1397	Cancer clone A
cell__1398	Ductal - CRISP3 high/centroacinar like
cell__1399	Ductal - MHC Class II
cell__1400	Ductal - CRISP3 high/centroacinar like
cell__1401	Ductal - terminal ductal like
cell__1402	Cancer clone B
cell__1403	Ductal - CRISP3 high/centroacinar like
cell__1404	Ductal - terminal ductal like
cell__1405	Ductal - CRISP3 high/centroacinar like
cell__1406	Ductal - CRISP3 high/centroacinar like
cell__1407	Ductal - CRISP3 high/centroacinar like
cell__1408	Ductal - terminal ductal like
cell__1409	Ductal - CRISP3 high/centroacinar like
cell__1410	Cancer clone B
cell__1411	Ductal - terminal ductal like
cell__1412	Ductal - CRISP3 high/centroacinar like
cell__1413	Ductal - CRISP3 high/centroacinar like
cell__1414	Ductal - terminal ductal like
cell__1415	Ductal - MHC Class II
cell__1416	Ductal - APOL1 high/hypoxic
cell__1417	Ductal - MHC Class II
cell__1418	Ductal - terminal ductal like
cell__1419	Cancer clone A
cell__1420	Ductal - CRISP3 high/centroacinar like
cell__1421	Ductal - CRISP3 high/centroacinar like
cell__1422	Ductal - terminal ductal like
cell__1423	Ductal - CRISP3 high/centroacinar like
cell__1424	Cancer clone B
cell__1425	Ductal - terminal ductal like
cell__1426	mDCs A
cell__1427	Ductal - MHC Class II
cell__1428	Ductal - CRISP3 high/centroacinar like
cell__1429	Ductal - terminal ductal like
cell__1430	Ductal - terminal ductal like
cell__1431	Ductal - MHC Class II
cell__1432	mDCs B
cell__1433	Cancer clone B
cell__1434	Ductal - terminal ductal like
cell__1435	Ductal - CRISP3 high/centroacinar like
cell__1436	Ductal - CRISP3 high/centroacinar like
cell__1437	Acinar cells
cell__1438	Ductal - CRISP3 high/centroacinar like
cell__1439	Endothelial cells
cell__1440	Ductal - CRISP3 high/centroacinar like
cell__1441	Ductal - APOL1 high/hypoxic
cell__1442	Cancer clone B
cell__1443	Ductal - terminal ductal like
cell__1444	Ductal - CRISP3 high/centroacinar like
cell__1445	mDCs B
cell__1446	Ductal - CRISP3 high/centroacinar like
cell__1447	Ductal - terminal ductal like
cell__1448	Ductal - terminal ductal like
cell__1449	Ductal - CRISP3 high/centroacinar like
cell__1450	RBCs
cell__1451	Ductal - CRISP3 high/centroacinar like
cell__1452	Ductal - CRISP3 high/centroacinar like
